hour,day_of_week,month,is_weekend,is_peak_hour,time_period,event_type,event_cause,corridor_encoded,zone,is_high_priority,requires_road_closure_bool,is_planned,is_major_event,is_major_corridor,critical_situation,corridor_risk_score,zone_risk_score,hour_risk_score,impact_score
17.0,3.0,3.0,0,1,2,1,14,3,10,0,0,0,0,0,0,0.9339609140723742,0.45724888730673835,0.4295870469763636,8.066666666666666
4.0,1.0,1.0,0,0,3,1,14,9,10,0,0,0,0,1,0,0.9324045395606709,0.45724888730673835,0.37654461993618576,8.066666666666666
6.0,5.0,11.0,1,0,0,1,6,0,1,0,0,0,0,0,0,0.0,0.3946081136811028,0.0,5.066666666666666
17.0,3.0,3.0,0,1,2,1,13,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.4295870469763636,5.566666666666666
4.0,1.0,1.0,0,0,3,1,14,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.37654461993618576,6.066666666666666
3.0,1.0,11.0,0,0,3,1,2,0,4,0,0,0,0,0,0,0.0,1.0,0.35726181648546884,7.066666666666666
7.0,1.0,1.0,0,1,0,1,14,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.016071129169928446,6.066666666666666
6.0,1.0,1.0,0,0,0,1,6,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.0,5.066666666666666
8.0,3.0,3.0,0,0,3,0,10,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.5,10.0
5.0,1.0,1.0,0,0,0,1,14,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.31882473823817253,6.066666666666666
18.0,3.0,3.0,0,1,2,1,16,10,10,0,0,0,0,1,0,0.9324811106125915,0.45724888730673835,0.4905142371734916,7.566666666666666
5.0,1.0,1.0,0,0,0,1,14,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.31882473823817253,8.066666666666666
18.0,3.0,3.0,0,1,2,1,16,10,10,0,0,0,0,1,0,0.9324811106125915,0.45724888730673835,0.4905142371734916,7.566666666666666
19.0,1.0,12.0,0,1,2,1,6,6,4,0,0,0,0,0,0,0.9721947382822144,1.0,0.3591694297061343,7.066666666666666
19.0,3.0,3.0,0,1,2,1,7,7,10,0,0,0,0,0,0,0.9420339522820552,0.45724888730673835,0.3591694297061343,7.566666666666666
19.0,3.0,3.0,0,1,2,1,6,4,10,0,0,0,0,1,0,1.0,0.45724888730673835,0.3591694297061343,7.066666666666666
19.0,3.0,3.0,0,1,2,1,6,4,10,0,0,0,0,1,0,1.0,0.45724888730673835,0.3591694297061343,7.066666666666666
19.0,3.0,3.0,0,1,2,1,6,6,10,0,0,0,0,0,0,0.9721947382822144,0.45724888730673835,0.3591694297061343,7.066666666666666
19.0,3.0,3.0,0,1,2,1,13,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.3591694297061343,5.566666666666666
4.0,1.0,1.0,0,0,3,1,14,2,10,0,0,0,0,1,0,0.9187642325429349,0.45724888730673835,0.37654461993618576,8.066666666666666
19.0,3.0,3.0,0,1,2,1,14,5,10,0,0,0,0,0,0,0.9072017300123657,0.45724888730673835,0.3591694297061343,8.066666666666666
19.0,3.0,3.0,0,1,2,1,13,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.3591694297061343,5.566666666666666
22.0,4.0,1.0,0,0,3,1,7,0,6,0,0,0,0,0,0,0.0,0.09873760008068107,0.05601946187784235,5.566666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,5.566666666666666
19.0,3.0,3.0,0,1,2,1,16,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.3591694297061343,5.566666666666666
6.0,3.0,3.0,0,0,0,1,13,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.0,5.566666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,7.566666666666666
8.0,1.0,1.0,0,1,0,1,14,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,8.066666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,5.566666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,5.566666666666666
8.0,1.0,1.0,0,1,0,1,7,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.2180368718058342,5.566666666666666
8.0,1.0,1.0,0,1,0,1,14,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,8.066666666666666
5.0,1.0,1.0,0,0,0,1,14,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.31882473823817253,8.066666666666666
20.0,3.0,3.0,0,1,2,1,13,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.447240418980331,5.566666666666666
5.0,1.0,1.0,0,0,0,1,3,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.31882473823817253,8.066666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,5.566666666666666
20.0,3.0,3.0,0,1,2,1,14,8,10,0,0,0,0,0,0,0.930798755013113,0.45724888730673835,0.447240418980331,8.066666666666666
3.0,1.0,1.0,0,0,3,1,2,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.35726181648546884,7.066666666666666
15.0,1.0,1.0,0,0,1,1,14,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,1.0,8.066666666666666
8.0,1.0,1.0,0,1,0,1,7,10,10,0,0,0,0,0,0,0.9324811106125915,0.45724888730673835,0.2180368718058342,5.301660703703703
11.0,1.0,1.0,0,0,0,0,4,9,10,0,0,0,0,1,0,0.9324045395606709,0.45724888730673835,0.32965886175976644,8.500613925925926
20.0,3.0,3.0,0,1,2,1,6,2,10,0,0,0,0,1,0,0.9187642325429349,0.45724888730673835,0.447240418980331,7.066666666666666
20.0,1.0,1.0,0,1,2,1,14,9,10,0,0,0,0,1,0,0.9324045395606709,0.45724888730673835,0.447240418980331,8.066666666666666
18.0,3.0,3.0,0,1,2,1,14,0,10,0,0,0,0,0,0,0.0,0.45724888730673835,0.4905142371734916,6.066666666666666
